Object_ID,Judul,Budaya,Lisensi,URL_Gambar_API,URL_Web_Sumber
39056,Seated Four-Armed Bodhisattva,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1984_473.JPG,https://www.metmuseum.org/art/collection/search/39056
64386,"Standing Manjushri, the Bodhisattva of Infinite Wisdom",Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/2001_758_2.jpg,https://www.metmuseum.org/art/collection/search/64386
44615,Antefix with a Mythical Kala Face,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1990_122_2.jpg,https://www.metmuseum.org/art/collection/search/44615
38483,Lintel with the Head of a Male Deity,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1990_122_1.jpg,https://www.metmuseum.org/art/collection/search/38483
39032,"Seated Bodhisattva Maitreya, the Buddha of the Future",Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1978_394_2.jpg,https://www.metmuseum.org/art/collection/search/39032
38270,Torso of a Bodhisattva,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1982_469.jpg,https://www.metmuseum.org/art/collection/search/38270
38281,Water Spout in the Form of a Makara,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1983_511_3.JPG,https://www.metmuseum.org/art/collection/search/38281
38269,"Male Deity, probably Padmapani",Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1984_491_7.jpg,https://www.metmuseum.org/art/collection/search/38269
39007,"Surya, the God of the Sun",Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_20.jpg,https://www.metmuseum.org/art/collection/search/39007
39083,Bell Handle with Seated Ganesha,"Indonesia, Java",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DP-23780-001.jpg,https://www.metmuseum.org/art/collection/search/39083
38280,Water Spout in the Form of a Makara,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1983_511_2.jpg,https://www.metmuseum.org/art/collection/search/38280
39205,Seated Figure,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/2000_284_40.jpg,https://www.metmuseum.org/art/collection/search/39205
39206,Seated Female Figure,Indonesia (Sulawesi),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/2000_284_41.jpg,https://www.metmuseum.org/art/collection/search/39206
54289,Standing Warrior,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DP158751.jpg,https://www.metmuseum.org/art/collection/search/54289
39028,Seated Bodhisattva Vajrasattva,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_169.jpg,https://www.metmuseum.org/art/collection/search/39028
39026,Standing Padmapani Lokeshvara,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_303.jpg,https://www.metmuseum.org/art/collection/search/39026
39027,Seated Bodhisattva Vajrapani (?),Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_10.jpg,https://www.metmuseum.org/art/collection/search/39027
39151,Seated Bodhisattva Vajrasattva,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1990_285.jpg,https://www.metmuseum.org/art/collection/search/39151
39061,Top of a Bell in the Form of a Kneeling Demon,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1982_460_2.jpg,https://www.metmuseum.org/art/collection/search/39061
39003,Seated Four-Armed Ganesha,"Indonesia, Java",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DP-23781-001.jpg,https://www.metmuseum.org/art/collection/search/39003
38481,Antefix with Head of a Male Deity,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1990_264.jpg,https://www.metmuseum.org/art/collection/search/38481
38603,"Head of Manjushri, the Bodhisattva of Transcendent Wisdom",Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1993_284.jpg,https://www.metmuseum.org/art/collection/search/38603
37414,Seated Bodhisattva Vajrapani (?),Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DT7426.jpg,https://www.metmuseum.org/art/collection/search/37414
39037,Seated Bodhisattva Vajrapani,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DP366473.jpg,https://www.metmuseum.org/art/collection/search/39037
38289,"Head of a Buddhist Deity, Perhaps Amitabha",Indonesia (Kalimantan),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_218_19.jpg,https://www.metmuseum.org/art/collection/search/38289
39058,Seated Esoteric Buddhist Deity,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/245248.jpg,https://www.metmuseum.org/art/collection/search/39058
39077,Standing Kinnari Holding an Oil Receptacle,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_27.jpg,https://www.metmuseum.org/art/collection/search/39077
39035,The Transcendent Buddha Ratnasambhava Flanked by Two Bodhisattvas,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_156.jpg,https://www.metmuseum.org/art/collection/search/39035
39075,Hanging Lamp in the Form of a Kinnari,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_25.jpg,https://www.metmuseum.org/art/collection/search/39075
39050,Seated Deity from an Esoteric Buddhist Mandala,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_164.jpg,https://www.metmuseum.org/art/collection/search/39050
38282,Bust of a Bodhisattva,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1983_549.jpg,https://www.metmuseum.org/art/collection/search/38282
38286,Seated Transcendent Buddha Akshobhya (?),Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DT8663.jpg,https://www.metmuseum.org/art/collection/search/38286
39160,Seated Esoteric Buddhist Deity,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DP241356.jpg,https://www.metmuseum.org/art/collection/search/39160
39008,Standing Four-Armed Vishnu,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_15.jpg,https://www.metmuseum.org/art/collection/search/39008
38285,Seated Transcendent Buddha Vairochana,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_13.jpg,https://www.metmuseum.org/art/collection/search/38285
39053,Kinnari Playing the Vina,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DT8666.jpg,https://www.metmuseum.org/art/collection/search/39053
37416,Water Spout in the Form of a Makara,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DT7949.jpg,https://www.metmuseum.org/art/collection/search/37416
56277,Posthumous Portrait of a Queen as Parvati,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DT5002.jpg,https://www.metmuseum.org/art/collection/search/56277
39016,"Seated Four-Headed and Four-Armed Jambhala(?), the Buddhist God of Wealth",Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_170.jpg,https://www.metmuseum.org/art/collection/search/39016
39014,"Seated Two-Armed Jambhala, the Buddhist God of Wealth",Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/264851.jpg,https://www.metmuseum.org/art/collection/search/39014
39012,"Seated Four Armed Jambhala, the Buddhist God of Wealth",Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_301.jpg,https://www.metmuseum.org/art/collection/search/39012
39024,"Seated Vairochana, the Transcendent Buddha of the Center",Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DP274274.jpg,https://www.metmuseum.org/art/collection/search/39024
39036,Standing Four-Armed Avalokiteshvara Flanked by Tara and Bhrikuti(?),Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DT8669.jpg,https://www.metmuseum.org/art/collection/search/39036
37415,The Buddhist Guardian Mahabala,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DT202820.jpg,https://www.metmuseum.org/art/collection/search/37415
39062,Top of a Bell in the Form of a Demon King or Guardian,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DT8667.jpg,https://www.metmuseum.org/art/collection/search/39062
38273,"The Goddess Durga Victorious over the Buffalo Demon, Mahisha (Mahishasuramardini)",Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1988_160.jpg,https://www.metmuseum.org/art/collection/search/38273
51348,Anthropomorphic Figure,Indonesia (Sumatra),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/2001_433_554.jpg,https://www.metmuseum.org/art/collection/search/51348
37686,Hand Bell,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_237.jpg,https://www.metmuseum.org/art/collection/search/37686
37687,Hand Bell,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_236.jpg,https://www.metmuseum.org/art/collection/search/37687
37689,Hand Bell,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/264854.jpg,https://www.metmuseum.org/art/collection/search/37689
37692,Hand Bell,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/264845.jpg,https://www.metmuseum.org/art/collection/search/37692
37706,Decorated Lid(?),Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_28.jpg,https://www.metmuseum.org/art/collection/search/37706
37691,Hand Bell,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/264855.jpg,https://www.metmuseum.org/art/collection/search/37691
37683,Mirror Handle,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_29_F.jpg,https://www.metmuseum.org/art/collection/search/37683
39054,Seated Female Deity Holding a Conch and Branch (?),"Indonesia (Java, Ngandjuk)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/262096.jpg,https://www.metmuseum.org/art/collection/search/39054
39046,Seated Male Deity Supporting a Vajra on His Finger,"Indonesia (Java, Ngandjuk)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/264842.jpg,https://www.metmuseum.org/art/collection/search/39046
39048,Seated Male Deity Holding Two Ritual Objects,"Indonesia (Java, Ndangjuk)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/262095.jpg,https://www.metmuseum.org/art/collection/search/39048
39047,Seated Male Deity Holding a Cuirass (Chest Armour),"Indonesia (Java, Ngandjuk)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/262094.jpg,https://www.metmuseum.org/art/collection/search/39047
37419,Finial with a Cockerel,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1982_462_1.jpg,https://www.metmuseum.org/art/collection/search/37419
37697,Rattle with a Coiled Serpent,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_238.jpg,https://www.metmuseum.org/art/collection/search/37697
37749,Hafted Ax,Indonesia (Sulawesi),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/2000_284_43.jpg,https://www.metmuseum.org/art/collection/search/37749
37751,Lime Container with Figural Handles,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/2000_284_45.jpg,https://www.metmuseum.org/art/collection/search/37751
39350,Top of a Scepter,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_184.jpg,https://www.metmuseum.org/art/collection/search/39350
37418,Finial with a Kinnari,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_33.jpg,https://www.metmuseum.org/art/collection/search/37418
37699,Slit Gong (Kentongan),Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DP254846.jpg,https://www.metmuseum.org/art/collection/search/37699
37711,Holy-Water Vessel,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DT8679.jpg,https://www.metmuseum.org/art/collection/search/37711
37727,Slit Gong (Kentongan),Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DP258942.jpg,https://www.metmuseum.org/art/collection/search/37727
37704,Holy-Water Vessel,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/264853.jpg,https://www.metmuseum.org/art/collection/search/37704
37688,Temple Bell,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DP254833.jpg,https://www.metmuseum.org/art/collection/search/37688
50704,Seated Female Esoteric Buddhist Deity,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1999_414_1.jpg,https://www.metmuseum.org/art/collection/search/50704
37420,Finial with a Cockerel,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1984_491_4.jpg,https://www.metmuseum.org/art/collection/search/37420
39079,Finial with a Makara Disgorging a Lion,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_34.jpg,https://www.metmuseum.org/art/collection/search/39079
37417,Finial with Lions and Makaras,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_32.jpg,https://www.metmuseum.org/art/collection/search/37417
39203,Halberd Head with Nagas and Blades,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/2000_284_29ab.jpg,https://www.metmuseum.org/art/collection/search/39203
37707,Hinged Box in the Form of a Tortoise,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_165.jpg,https://www.metmuseum.org/art/collection/search/37707
37702,Naga Spout from a Holy-Water Vessel,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_201.jpg,https://www.metmuseum.org/art/collection/search/37702
37620,Standing Male Figure,"Indonesia (Java, Lumajang, Pasiran)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DT4677.jpg,https://www.metmuseum.org/art/collection/search/37620
39152,Seated Bodhisattva,"Indonesia (Java, Ngandjuk)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1990_280.jpg,https://www.metmuseum.org/art/collection/search/39152
53049,Swallowtail Hafted Ax with Chevron Design,"Indonesia (Java, Lumajang, Pasiran)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/2001_433_406.jpg,https://www.metmuseum.org/art/collection/search/53049
53038,Asymmetrical Hafted Ax,"Indonesia (Java, Lumajang, Pasiran)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/2001_433_476.jpg,https://www.metmuseum.org/art/collection/search/53038
53072,Hafted Ax,"Indonesia (Java, Lumajang, Pasiran)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/2001_433_423.jpg,https://www.metmuseum.org/art/collection/search/53072
53094,Swallowtail Hafted Ax with Diamond Pattern,"Indonesia (Java, Lumajang, Pasiran)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/2001_433_466.jpg,https://www.metmuseum.org/art/collection/search/53094
51343,Anthropomorphic Lime Spatula,"Indonesia (Java, Lumajang, Pasiran)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/2001_433_553.JPG,https://www.metmuseum.org/art/collection/search/51343
51342,Anthropomorphic Lime Spatula,"Indonesia (Java, Lumajang, Pasiran)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/2001_433_552.JPG,https://www.metmuseum.org/art/collection/search/51342
51339,Lime Spatula with Animal Head,"Indonesia (Java, Lumajang, Pasiran)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/2001_433_548.jpg,https://www.metmuseum.org/art/collection/search/51339
51312,Anthropomorphic Lime Container,"Indonesia (Java, Lumajang, Pasiran)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/2001_433_507ab.jpg,https://www.metmuseum.org/art/collection/search/51312
38263,Head of a Male Deity,"Indonesia (Kutei region, Kalimantan)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1986_501_2.jpg,https://www.metmuseum.org/art/collection/search/38263
38178,Seated Four-Armed Ganesha,"Indonesia (Kutei region, Kalimantan)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1984_486_7.jpg,https://www.metmuseum.org/art/collection/search/38178
39169,Seated Male Deity Holding a Manuscript(?),"Indonesia (Java, Ngandjuk)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1991_457_2_O.jpg,https://www.metmuseum.org/art/collection/search/39169
39045,Seated Male Deity Holding a Parasol and an Unidentified Object,"Indonesia (Java, Ngandjuk)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/264838.jpg,https://www.metmuseum.org/art/collection/search/39045
75279,The Mother Goddess Men Brajut (Hariti),"Indonesia (East Java, Trowulan)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/LC-2009_321-001.jpg,https://www.metmuseum.org/art/collection/search/75279
51314,Lime Container Topped by a Warrior,"Indonesia (Java, Lumajang, Pasiran)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/2001_433_509ab.jpg,https://www.metmuseum.org/art/collection/search/51314
39049,Seated Deity Holding a Double Vajra,"Indonesia (Java, Ngandjuk)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_6.jpg,https://www.metmuseum.org/art/collection/search/39049
924665,Enthroned Buddha with Avalokiteshvara and Vajrapani,"Indonesia, Central Java",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DP-41337-001.jpg,https://www.metmuseum.org/art/collection/search/924665
